name,number,position,img_url
Courtois,1,Goalkeeper,https://www.realmadrid.com//img/vertical_220px/courtois_380x501_20201203095853.jpg
Lunin,13,Goalkeeper,https://www.realmadrid.com//img/vertical_220px/lunin_380x501_20201203095858.jpg
Carvajal,2,Defender,https://www.realmadrid.com//img/vertical_220px/carvajal_380x501_20201203095829.jpg
E. Militão,3,Defender,https://www.realmadrid.com//img/vertical_220px/militao_380x501_20201203095858.jpg
Sergio Ramos,4,Defender,https://www.realmadrid.com//img/vertical_220px/ramos_380x501_20201203095830.jpg
R. Varane,5,Defender,https://www.realmadrid.com//img/vertical_220px/varane_380x501_20201203095831.jpg
Nacho,6,Defender,https://www.realmadrid.com//img/vertical_220px/nacho_380x501_20201203095831.jpg
Marcelo,12,Defender,https://www.realmadrid.com//img/vertical_220px/marcelo_380x501_20201203095832.jpg
Odriozola,19,Defender,https://www.realmadrid.com//img/vertical_220px/odriozola_380x501_20201203095852.jpg
F. Mendy,23,Defender,https://www.realmadrid.com//img/vertical_220px/mendy_380x501_20201203095856.jpg
Kroos,8,Midfielder,https://www.realmadrid.com//img/vertical_220px/kroos_380x501_20201203095832.jpg
Modrić,10,Midfielder,https://www.realmadrid.com//img/vertical_220px/modric_380x501_20201203095835.jpg
Casemiro,14,Midfielder,https://www.realmadrid.com//img/vertical_220px/casemiro_380x501_20201203095834.jpg
Valverde,15,Midfielder,https://www.realmadrid.com//img/vertical_220px/valverde_380x501_20201203095828.jpg
Ødegaard,21,Midfielder,https://www.realmadrid.com//img/vertical_220px/odegaard_380x501_20201203095833.jpg
Isco,22,Midfielder,https://www.realmadrid.com//img/vertical_220px/isco_380x501_20201203095835.jpg
Hazard ,7,Forward,https://www.realmadrid.com//img/vertical_220px/hazard_380x501_20201203095855.jpg
Benzema,9,Forward,https://www.realmadrid.com//img/vertical_220px/benzema_380x501_20201203095836.jpg
Asensio,11,Forward,https://www.realmadrid.com//img/vertical_220px/asensio_380x501_20201203095827.jpg
Lucas V.,17,Forward,https://www.realmadrid.com//img/vertical_220px/lucas_380x501_20201203095836.jpg
Jović,18,Forward,https://www.realmadrid.com//img/vertical_220px/jovic_380x501_20201203095854.jpg
Vini Jr.,20,Forward,https://www.realmadrid.com//img/vertical_220px/vinicius_380x501_20201203095853.jpg
Mariano,24,Forward ,https://www.realmadrid.com//img/vertical_220px/mariano_380x501_20201203095829.jpg
Rodrygo,25,Forward,https://www.realmadrid.com//img/vertical_220px/rodrygo_380x501_20201203095856.jpg
